As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance
22-03-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,41000
24-03-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,54000
25-03-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,51000
26-03-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,37000
04-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,54000,47000
05-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,64000
06-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,51000
07-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,42000
08-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,55000
11-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,66000
12-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,66000
13-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,48000
14-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,45000
15-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
18-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,51000
19-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,65000
20-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,43000
23-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,56000
24-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
26-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,43000
27-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,55000
30-04-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,66000
01-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,59000
02-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,47000
03-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,60000
05-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,37000
06-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
07-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
08-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,44000
10-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,76000
11-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,41000
12-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,51000
13-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,49000
15-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,58000,50000
17-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
22-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
24-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,65000
25-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,58000
28-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,51000
29-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,51000,44000
31-05-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,55000,48000
01-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,61000
03-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,56000,56000
05-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,57000,57000
06-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
08-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,53000
09-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,59000,51000
11-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,53000,59000
12-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,51000
13-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,61000,66000
17-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,60000,54000
22-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,52000
25-06-2024,"Rodriguez, Figueroa and Sanchez",754,2824,USD,ALL LOB LOANS,INTEREST RECEIVABLE,52000,58000
